Method                         |Origin    |RO/UO/Both/Both (impl. dependent) |Overview|Notes                                                                                                                                                          
__init__                       |TreeNode  |B?                                |Initialises name, children, params (extra values), and parent. Also has bool name_loaded?|                                                                                                                                                               
__repr__                       |TreeNode  |B                                 |Newick repr|                                                                                                                                                               
__str__                        |TreeNode  |B                                 |Newick str|                                                                                                                                                               
__lt__                         |TreeNode  |B                                 |Comparison operator on node names|                                                                                                                                                               
__gt__                         |TreeNode  |B                                 |Comparison operator on node names|                                                                                                                                                               
compare_name                   |TreeNode  |B                                 |Whether two nodes have same name|                                                                                                                                                               
compare_by_names               |TreeNode  |B                                 |Equality test for trees by name (doesn't care for topology)|                                                                                                                                                               
_to_self_child                 |TreeNode  |Bid                               |Converts a tree node to the type of the class.|Does this even work? Looking at the tests it assumes the input is either a TreeNode or the name of the node. Otherwise would fail (for instance on PhyloNode). 
append                         |TreeNode  |Bid                               |Appends a node (or I guess a name?) to the children|                                                                                                                                                               
extend                         |TreeNode  |Bid                               |Extends the children of node|                                                                                                                                                               
insert                         |TreeNode  |                                  ||                                                                                                                                                               
pop                            |TreeNode  |                                  ||                                                                                                                                                               
remove                         |TreeNode  |                                  ||                                                                                                                                                               
__getitem__                    |TreeNode  |                                  ||                                                                                                                                                               
__setitem__                    |TreeNode  |                                  ||                                                                                                                                                               
__delitem__                    |TreeNode  |                                  ||                                                                                                                                                               
__iter__                       |TreeNode  |                                  ||                                                                                                                                                               
__len__                        |TreeNode  |                                  ||                                                                                                                                                               
copy                           |TreeNode  |                                  ||                                                                                                                                                               
__deepcopy__                   |TreeNode  |                                  ||                                                                                                                                                               
deepcopy                       |TreeNode  |                                  ||                                                                                                                                                               
copy_topology                  |TreeNode  |                                  ||                                                                                                                                                               
_get_parent                    |TreeNode  |                                  ||                                                                                                                                                               
_set_parent                    |TreeNode  |                                  ||                                                                                                                                                               
index_in_parent                |TreeNode  |                                  ||                                                                                                                                                               
is_tip                         |TreeNode  |                                  ||                                                                                                                                                               
is_root                        |TreeNode  |                                  ||                                                                                                                                                               
traverse                       |TreeNode  |                                  ||                                                                                                                                                               
levelorder                     |TreeNode  |                                  ||                                                                                                                                                               
preorder                       |TreeNode  |                                  ||                                                                                                                                                               
postorder                      |TreeNode  |                                  ||                                                                                                                                                               
pre_an_postorder               |TreeNode  |                                  ||                                                                                                                                                               
ancestors                      |TreeNode  |                                  ||                                                                                                                                                               
root                           |TreeNode  |                                  ||                                                                                                                                                               
isroot                         |TreeNode  |                                  ||                                                                                                                                                               
siblings                       |TreeNode  |                                  ||                                                                                                                                                               
iter_tips                      |TreeNode  |                                  ||                                                                                                                                                               
tips                           |TreeNode  |                                  ||                                                                                                                                                               
iter_nontips                   |TreeNode  |                                  ||                                                                                                                                                               
nontips                        |TreeNode  |                                  ||                                                                                                                                                               
istip                          |TreeNode  |                                  ||                                                                                                                                                               
tip_children                   |TreeNode  |                                  ||                                                                                                                                                               
non_tip_children               |TreeNode  |                                  ||                                                                                                                                                               
child_groups                   |TreeNode  |                                  ||                                                                                                                                                               
last_common_ancestor           |TreeNode  |                                  ||                                                                                                                                                               
lowest_common_ancestor         |TreeNode  |                                  ||                                                                                                                                                               
lca                            |TreeNode  |                                  ||                                                                                                                                                               
separation                     |TreeNode  |                                  ||                                                                                                                                                               
descendant_array               |TreeNode  |                                  ||                                                                                                                                                               
_default_tree_constructor      |TreeNode  |                                  ||                                                                                                                                                               
name_unnamed_nodes             |TreeNode  |                                  ||                                                                                                                                                               
make_tree_array                |TreeNode  |                                  ||                                                                                                                                                               
rmeove_deleted                 |TreeNode  |                                  ||                                                                                                                                                               
prune                          |TreeNode  |                                  ||                                                                                                                                                               
same_shape                     |TreeNode  |                                  ||                                                                                                                                                               
to_rich_dict                   |TreeNode  |                                  ||                                                                                                                                                               
to_json                        |TreeNode  |                                  ||                                                                                                                                                               
get_newick                     |TreeNode  |                                  ||                                                                                                                                                               
remove_node                    |TreeNode  |                                  ||                                                                                                                                                               
get_edge_names                 |TreeNode  |                                  ||                                                                                                                                                               
_getNeighboursExcept           |TreeNode  |                                  ||                                                                                                                                                               
_get_sub_tree                  |TreeNode  |                                  ||                                                                                                                                                               
get_sub_tree                   |TreeNode  |                                  ||                                                                                                                                                               
_edgecount                     |TreeNode  |                                  ||                                                                                                                                                               
_imbalance                     |TreeNode  |                                  ||                                                                                                                                                               
_sorted                        |TreeNode  |                                  ||                                                                                                                                                               
sorted                         |TreeNode  |                                  ||                                                                                                                                                               
_ascii_art                     |TreeNode  |                                  ||                                                                                                                                                               
ascii_art                      |TreeNode  |                                  ||                                                                                                                                                               
_getXmlLines                   |TreeNode  |                                  ||                                                                                                                                                               
get_xml                        |TreeNode  |                                  ||                                                                                                                                                               
write                          |TreeNode  |                                  ||                                                                                                                                                               
get_node_names                 |TreeNode  |                                  ||                                                                                                                                                               
get_tip_names                  |TreeNode  |                                  ||                                                                                                                                                               
get_edge_vector                |TreeNode  |                                  ||                                                                                                                                                               
_get_node_matching_name        |TreeNode  |                                  ||                                                                                                                                                               
get_node_matching_name         |TreeNode  |                                  ||                                                                                                                                                               
get_connecting_node            |TreeNode  |                                  ||                                                                                                                                                               
get_connecting_edges           |TreeNode  |                                  ||                                                                                                                                                               
get_param_value                |TreeNode  |                                  ||                                                                                                                                                               
set_param_value                |TreeNode  |                                  ||                                                                                                                                                               
reassign_names                 |TreeNode  |                                  ||                                                                                                                                                               
multifurcating                 |TreeNode  |                                  ||                                                                                                                                                               
bifurcating                    |TreeNode  |                                  ||                                                                                                                                                               
get_nodes_dict                 |TreeNode  |                                  ||                                                                                                                                                               
subset                         |TreeNode  |                                  ||                                                                                                                                                               
subsets                        |TreeNode  |                                  ||                                                                                                                                                               
compare_by_subsets             |TreeNode  |                                  ||                                                                                                                                                               
tip_to_tip_distances           |TreeNode  |                                  ||                                                                                                                                                               
get_figure                     |TreeNode  |                                  ||                                                                                                                                                               
balanced                       |TreeNode  |                                  ||                                                                                                                                                               
same_topology                  |TreeNode  |                                  ||                                                                                                                                                               
unrooted_deepcopy              |TreeNode  |                                  ||                                                                                                                                                               
unrooted                       |TreeNode  |                                  ||                                                                                                                                                               
rooted_at                      |TreeNode  |                                  ||                                                                                                                                                               
rooted_with_tip                |TreeNode  |                                  ||                                                                                                                                                               
tree_distance                  |TreeNode  |                                  ||                                                                                                                                                               
lin_rajan_moret                |TreeNode  |                                  ||                                                                                                                                                               
child_parent_map               |TreeNode  |                                  ||                                                                                                                                                               
__init__                       |PhyloNode |                                  ||                                                                                                                                                               
_set_length                    |PhyloNode |                                  ||                                                                                                                                                               
_get_length                    |PhyloNode |                                  ||                                                                                                                                                               
__str__                        |PhyloNode |                                  ||                                                                                                                                                               
distance                       |PhyloNode |                                  ||                                                                                                                                                               
total_descending_branch_length |PhyloNode |                                  ||                                                                                                                                                               
total_length                   |PhyloNode |                                  ||                                                                                                                                                               
tips_within_distance           |PhyloNode |                                  ||                                                                                                                                                               
prune                          |PhyloNode |                                  ||                                                                                                                                                               
root_at_midpoint               |PhyloNode |                                  ||                                                                                                                                                               
_find_midpoint_nodes           |PhyloNode |                                  ||                                                                                                                                                               
set_tip_distances              |PhyloNode |                                  ||                                                                                                                                                               
scale_branch_lengths           |PhyloNode |                                  ||                                                                                                                                                               
_get_distances                 |PhyloNode |                                  ||                                                                                                                                                               
get_distances                  |PhyloNode |                                  ||                                                                                                                                                               
tip_to_tip_distances           |PhyloNode |                                  ||                                                                                                                                                               
compare_by_tip_distances       |PhyloNode |                                  ||                                                                                                                                                               
get_max_tip_distance           |PhyloNode |                                  ||                                                                                                                                                               
max_tip_tip_distance           |PhyloNode |                                  ||                                                                                                                                                               
set_max_tip_tip_distance       |PhyloNode |                                  ||                                                                                                                                                               
